part_id,mode_survey,group_yn,group_n,include_all_contacts,num_left_out,group_age0,group_age6,group_age12,group_age19,group_age60,group_age,group_cont
1030221,S,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030222,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030223,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030224,S,0,0,0,3,0,0,0,0,0,No Group Cont,No Group Cont
1030225,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030301,S,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030303,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030304,S,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030305,S,1,60,1,NA,0,0,0,1,0,age20-60,Group Cont
1030306,S,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030307,S,1,40,1,NA,0,1,0,0,0,age6-12,Group Cont
1030308,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030309,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030310,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030313,S,1,40,1,NA,0,0,1,0,0,age13-19,Group Cont
1030315,T,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030316,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030317,S,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030318,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030319,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030320,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030321,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030322,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030323,S,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030324,T,1,40,1,NA,0,0,1,1,1,age13-19,Group Cont
1030325,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030401,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030402,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030403,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030404,T,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030405,T,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030406,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030407,T,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030408,T,1,30,0,NA,0,0,1,0,0,age13-19,Group Cont
1030409,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030410,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030411,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030412,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030413,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030414,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030415,T,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030416,T,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030417,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030418,T,1,50,1,NA,0,0,1,1,0,age13-19,Group Cont
1030419,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030420,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030421,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1030422,T,1,25,1,NA,0,1,0,0,0,age6-12,Group Cont
1030424,T,1,40,1,NA,0,0,0,1,0,age20-60,Group Cont
1030425,T,0,0,0,2,0,0,0,0,0,No Group Cont,No Group Cont
2010101,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010102,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010103,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010104,T,1,20,1,NA,0,0,0,1,1,age20-60,Group Cont
2010105,T,1,20,0,10,0,0,0,1,0,age20-60,Group Cont
2010106,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010107,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010108,T,0,0,0,3,0,0,0,0,0,No Group Cont,No Group Cont
2010109,T,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010110,T,1,100,0,8,0,0,0,1,0,age20-60,Group Cont
2010111,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010112,T,0,0,0,4,0,0,0,0,0,No Group Cont,No Group Cont
2010113,T,1,20,0,NA,0,0,0,1,0,age20-60,Group Cont
2010114,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010115,T,1,22,0,5,0,0,0,1,1,age20-60,Group Cont
2010116,T,0,0,0,15,0,0,0,0,0,No Group Cont,No Group Cont
2010117,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010118,T,0,0,0,2,0,0,0,0,0,No Group Cont,No Group Cont
2010119,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010120,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010121,T,0,0,0,7,0,0,0,0,0,No Group Cont,No Group Cont
2010122,T,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
